Station,Date and Time,Air Temp,RH,Dewpoint
fcl01,2023-01-01T01:00,34.62,0.793,28.88
fcl01,2023-01-01T02:00,35.5,0.739,28.02
fcl01,2023-01-01T03:00,34.42,0.758,27.58
fcl01,2023-01-01T04:00,33.98,0.777,27.74
fcl01,2023-01-01T05:00,33.56,0.787,27.66
fcl01,2023-01-01T06:00,34.71,0.728,26.86
fcl01,2023-01-01T07:00,33.54,0.754,26.61
fcl01,2023-01-01T08:00,30.19,0.84,25.94
fcl01,2023-01-01T09:00,32.13,0.838,27.78
fcl01,2023-01-01T10:00,37.95,0.663,27.73
fcl01,2023-01-01T11:00,39.8,0.628,28.17
fcl01,2023-01-01T12:00,39.81,0.621,27.88
fcl01,2023-01-01T13:00,39.53,0.647,28.63
fcl01,2023-01-01T14:00,39.23,0.675,29.38
fcl01,2023-01-01T15:00,37.42,0.75,30.22
fcl01,2023-01-01T16:00,35.43,0.824,30.6
fcl01,2023-01-01T17:00,35.04,0.828,30.34
fcl01,2023-01-01T18:00,34.93,0.834,30.41
fcl01,2023-01-01T19:00,35.07,0.819,30.1
fcl01,2023-01-01T20:00,33.44,0.814,28.36
fcl01,2023-01-01T21:00,31.96,0.786,26.05
fcl01,2023-01-01T22:00,31.43,0.828,26.8
fcl01,2023-01-01T23:00,31.15,0.874,27.84
fcl01,2023-01-02T00:00,30.66,0.947,29.32
fcl01,2023-01-02T01:00,30.08,0.993,29.91
fcl01,2023-01-02T02:00,29.31,1.0,29.31
fcl01,2023-01-02T03:00,28.17,1.0,28.17
fcl01,2023-01-02T04:00,28.12,1.0,28.12
fcl01,2023-01-02T05:00,28.03,1.0,28.03
fcl01,2023-01-02T06:00,27.91,0.997,27.83
fcl01,2023-01-02T07:00,27.67,0.989,27.41
fcl01,2023-01-02T08:00,27.45,0.997,27.38
fcl01,2023-01-02T09:00,27.19,1.0,27.19
fcl01,2023-01-02T10:00,27.22,1.0,27.22
fcl01,2023-01-02T11:00,27.7,1.0,27.7
fcl01,2023-01-02T12:00,27.76,1.0,27.76
fcl01,2023-01-02T13:00,27.73,0.99,27.48
fcl01,2023-01-02T14:00,28.0,0.964,27.1
fcl01,2023-01-02T15:00,28.21,0.956,27.11
fcl01,2023-01-02T16:00,28.56,0.92,26.53
fcl01,2023-01-02T17:00,28.55,0.887,25.64
fcl01,2023-01-02T18:00,28.22,0.888,25.34
fcl01,2023-01-02T19:00,28.07,0.897,25.44
fcl01,2023-01-02T20:00,27.62,0.901,25.1
fcl01,2023-01-02T21:00,26.9,0.943,25.49
fcl01,2023-01-02T22:00,26.72,0.957,25.66
fcl01,2023-01-02T23:00,26.94,0.903,24.48
fcl01,2023-01-03T00:00,27.18,0.865,23.69
fcl01,2023-01-03T01:00,27.36,0.829,22.85
fcl01,2023-01-03T02:00,26.54,0.857,22.84
fcl01,2023-01-03T03:00,24.51,0.901,22.02
fcl01,2023-01-03T04:00,23.94,0.902,21.49
fcl01,2023-01-03T05:00,21.33,0.935,19.75
fcl01,2023-01-03T06:00,18.9,0.944,17.56
fcl01,2023-01-03T07:00,18.77,0.959,17.79
fcl01,2023-01-03T08:00,16.5,0.96,15.56
fcl01,2023-01-03T09:00,20.84,0.937,19.31
fcl01,2023-01-03T10:00,24.79,0.847,20.84
fcl01,2023-01-03T11:00,25.38,0.85,21.5
fcl01,2023-01-03T12:00,26.63,0.828,22.1
fcl01,2023-01-03T13:00,26.71,0.82,21.96
fcl01,2023-01-03T14:00,26.7,0.815,21.8
fcl01,2023-01-03T15:00,27.03,0.79,21.38
fcl01,2023-01-03T16:00,26.8,0.786,21.05
fcl01,2023-01-03T17:00,26.26,0.805,21.08
fcl01,2023-01-03T18:00,25.34,0.838,21.13
fcl01,2023-01-03T19:00,24.35,0.86,20.76
fcl01,2023-01-03T20:00,22.9,0.885,20.01
fcl01,2023-01-03T21:00,21.82,0.917,19.77
fcl01,2023-01-03T22:00,20.28,0.945,18.96
fcl01,2023-01-03T23:00,18.56,0.959,17.58
fcl01,2023-01-04T00:00,17.1,0.959,16.13
fcl01,2023-01-04T01:00,15.66,0.956,14.62
fcl01,2023-01-04T02:00,15.12,0.954,14.04
fcl01,2023-01-04T03:00,15.87,0.938,14.4
fcl01,2023-01-04T04:00,15.26,0.933,13.67
fcl01,2023-01-04T05:00,17.29,0.936,15.77
fcl01,2023-01-04T06:00,19.72,0.927,17.95
fcl01,2023-01-04T07:00,18.67,0.936,17.13
fcl01,2023-01-04T08:00,17.9,0.929,16.19
fcl01,2023-01-04T09:00,21.83,0.889,19.06
fcl01,2023-01-04T10:00,26.36,0.766,20.0
fcl01,2023-01-04T11:00,28.71,0.683,19.56
fcl01,2023-01-04T12:00,31.0,0.581,17.98
fcl01,2023-01-04T13:00,32.46,0.533,17.35
fcl01,2023-01-04T14:00,33.35,0.504,16.88
fcl01,2023-01-04T15:00,33.89,0.499,17.15
fcl01,2023-01-04T16:00,32.3,0.468,14.22
fcl01,2023-01-04T17:00,30.86,0.496,14.19
fcl01,2023-01-04T18:00,27.6,0.623,16.39
fcl01,2023-01-04T19:00,25.26,0.689,16.49
fcl01,2023-01-04T20:00,22.36,0.75,15.64
fcl01,2023-01-04T21:00,20.62,0.779,14.82
fcl01,2023-01-04T22:00,17.94,0.827,13.57
fcl01,2023-01-04T23:00,17.51,0.855,13.91
fcl01,2023-01-05T00:00,15.91,0.855,12.33
fcl01,2023-01-05T01:00,15.21,0.835,11.11
fcl01,2023-01-05T02:00,13.48,0.856,9.97
fcl01,2023-01-05T03:00,12.99,0.875,9.98
fcl01,2023-01-05T04:00,12.34,0.867,9.14
fcl01,2023-01-05T05:00,11.41,0.867,8.22
fcl01,2023-01-05T06:00,10.96,0.88,8.1
fcl01,2023-01-05T07:00,12.36,0.89,9.74
fcl01,2023-01-05T08:00,14.59,0.849,10.88
fcl01,2023-01-05T09:00,21.54,0.695,13.11
fcl01,2023-01-05T10:00,25.62,0.615,14.23
fcl01,2023-01-05T11:00,29.45,0.556,15.53
fcl01,2023-01-05T12:00,30.91,0.553,16.76
fcl01,2023-01-05T13:00,31.52,0.583,18.53
fcl01,2023-01-05T14:00,32.76,0.539,17.91
fcl01,2023-01-05T15:00,33.05,0.525,17.56
fcl01,2023-01-05T16:00,33.26,0.475,15.44
fcl01,2023-01-05T17:00,32.69,0.538,17.76
fcl01,2023-01-05T18:00,29.92,0.641,19.26
fcl01,2023-01-05T19:00,26.67,0.721,18.88
fcl01,2023-01-05T20:00,24.04,0.774,18.01
fcl01,2023-01-05T21:00,21.16,0.836,16.98
fcl01,2023-01-05T22:00,19.78,0.87,16.54
fcl01,2023-01-05T23:00,19.56,0.881,16.61
fcl01,2023-01-06T00:00,19.19,0.855,15.56
fcl01,2023-01-06T01:00,20.25,0.853,16.54
fcl01,2023-01-06T02:00,20.96,0.81,16.05
fcl01,2023-01-06T03:00,22.57,0.789,17.01
fcl01,2023-01-06T04:00,23.02,0.774,17.01
fcl01,2023-01-06T05:00,25.45,0.737,18.22
fcl01,2023-01-06T06:00,26.7,0.697,18.11
fcl01,2023-01-06T07:00,26.69,0.73,19.21
fcl01,2023-01-06T08:00,27.38,0.735,20.05
fcl01,2023-01-06T09:00,29.19,0.735,21.78
